,,,,,,Notifiable Offence List  2018-2019,,,,,,,
,,,,,,,,,,,,,
"This list can be filtered to show indictable, triable-either-way and summary offences.",,,,,,,,,,,,,
Click on the drop down arrow above the column marked ‘mode’ and select either “I” (indictable) “E” (triable-either-way) or “S” (summary).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Home Office code,Mode,Max Sentence,Victim or State Based,Class,Sub class,Offence category,Offence,Act,Year added/amended/deleted,Commencement date,Cessation date,Note,
8/24,I,10,S,Possession of weapons,,10A Possession of Firearms with intent,Possessing firearm or imitation firearm with intent to cause fear of violence ,Firearms Act 1968 Sec 16A,,,,,
8/25,I,10,S,Possession of weapons,,10A Possession of Firearms with intent,Possessing firearm or imitation firearm with intent to cause fear of violence ,Firearms Act 1968 Sec 16A,,,,,
8/26,E,4,S,Possession of weapons,,10D Possession of Article with Blade or Point,Having an article with a blade or point in a public place,Criminal Justice Act 1988 Sec 139 as amended by Offensive Weapons Act 1996,,,,,
8/27,E,4,S,Possession of weapons,,10D Possession of Article with Blade or Point,Having an article with a blade or point on school premises,Criminal Justice Act 1988 Sec 139A (1) & (5)(a) as amended by Offensive Weapons Act 1996,,,,,
8/28,E,4,S,Possession of weapons,,10C Possession of Other Weapons,Possession of other offensive weapon on school premises,Offensive Weapons Act 1996  Sec 4(1) ,,,,,
8/29,E,5,S,Violence Against The Person,Stalking and Harassment,8L Harassment,Breach of conditions of injunction against harassment ,Protection from Harassment Act 1997 Sec 3,,,,,
8/30,E,10,V,Violence Against The Person,Stalking and Harassment,8L Harassment,Putting people in fear of violence,Protection from Harassment Act 1997 Sec 4,,,,,
8/31,E,5,S,Violence Against The Person,Stalking and Harassment,8L Harassment,Breach of a restraining order,Protection from Harassment Act 1997 Sec 5,,,,,
8/32,E,5,S,Public Order Offences,,66 Other Offences against the State or public order,Breach of Anti-Social Behaviour Order,Crime and Disorder Act 1998 Sec 1 (10),,,,,
8/52,E,14,V,Violence Against The Person,Violence with injury ,8N Assault with injury,"Excise, infibulate, aid, abet, counsel","Female Genital Mutilation Act 2003 Sec 1(1),2,3,5",,,,,
8/53,I,4,S,Possession of weapons,,10C Possession of Other Weapons,Using someone to look after a dangerous weapon - offensive/weapon/knife/bladed weapon,Violent Crime Reduction Act 2006 Sec 28,,,,,
8/54,I,10,S,Possession of weapons,,10A Possession of Firearms with intent,Using someone to look after a dangerous weapon firearm,Violent Crime Reduction Act 2006 Sec 28,,,,,
8/55,E,2,V,Public Order Offences,,"9B Racially or Religiously Aggravated Public Fear, Alarm or Distress",Racially or religiously aggravated intentional harassment or alarm or distress - words or writing,Crime & Disorder Act 1998 Sec 31(1)(b) & (4),,,,,
8/56,E,2,V,Violence Against The Person,Stalking and Harassment,8M Racially or Religiously Aggravated Harassment,Racially or religiously aggravated Stalking without violence,Crime & Disorder Act 1998 Sec 32(1)(a) & (4),,,,,
8/57,E,2,V,Violence Against The Person,Violence without injury,105B Racially or religiously Aggravated Assault without Injury,Racially or Religiously aggravated common assault or beating,Crime & Disorder Act 1998 Sec 29(1)(c) & (3),,,,,
8/58,E,14,V,Violence Against The Person,Stalking and Harassment,8M Racially or Religiously Aggravated Harassment,Racially or Religiously Aggravated Stalking with fear of violence,Crime & Disorder Act 1998 Sec 32(1)(b) & 4,,,,,
8/59,E,7,V,Violence Against The Person,Violence with injury ,8P Racially or Religiously Aggravated Assault with Injury,Racially or Religiously Aggravated wounding or grievous bodily harm,Crime & Disorder Act 1998 Sec 29(1)(a) & (2),,,,,
8/60,E,7,V,Violence Against The Person,Violence with injury ,8P Racially or Religiously Aggravated Assault with Injury,Racially or Religiously Aggravated assault occasioning actual bodily harm,Crime & Disorder Act 1998 Sec 29(1)(b) & (2),,,,,
8/61,E,4,S/V,Possession of weapons,,10C Possession of Other Weapons,Threaten with an offensive weapon in a public place,"Prevention of Crime Act 1953 Sec 1 (A) (1) as inserted by Legal Aid, Sentencing and Punishment of Offenders Act 2012 ",,,,,
8/62,E,4,S/V,Possession of weapons,,10D Possession of Article with Blade or Point,Threaten with a blade or sharply pointed article on school premises,"Criminal Justice Act 1988 Sec 139 AA as inserted by Legal Aid, Sentencing and Punishment of Offenders Act 2012 ",,,,,
8/63,E,4,S/V,Possession of weapons,,10C Possession of Other Weapons,Threaten with an offensive weapon on school premises,"Criminal Justice Act 1988 Sec 139 AA as inserted by Legal Aid, Sentencing and Punishment of Offenders Act 2012 ",,,,,
8/64,E,4,S/V,Possession of weapons,,10D Possession of Article with Blade or Point,Threaten with a blade or sharply pointed article in a public place,"Criminal Justice Act 1988 Sec 139 AA as inserted by Legal Aid, Sentencing and Punishment of Offenders Act 2012 ",,,,,
8/65,E,10,V,Violence Against The Person,Stalking and Harassment,8Q Stalking,Stalking involving fear of violence,Protection from Harassment Act 1997 Sec 4A (1) (a) (b) (i) as inserted by Protection of Freedom Act 2012 Sec 111,,,,,
8/66,E,10,V,Violence Against The Person,Stalking and Harassment,8Q Stalking,Stalking involving serious alarm/distress,Protection from Harassment Act 1997 Sec 4 (1) (a) (b) (ii) as inserted by Protection of Freedoms Act 2012 ,,,,,
8/67,E,5,V,Violence Against The Person,Violence without injury,105A Assault without Injury,Engage in controlling/coercive behaviour in an intimate / family relationship.,Serious Crime Act 2015 Sec 76,2015,29/12/2015,,,
8/68,E,7,V,Violence Against The Person,Violence with injury ,8N Assault with injury,Fail to protect girl from risk of genital mutilation,Female Genital Mutilation Act 2003 Sec 3 A(1) and 5 (2) as amended by Serious Crime Act 2015 Sec 72,2015,03/05/2015,,,
8/69,E,5,V,Violence Against The Person,Violence with injury ,8N Assault with injury,Care worker ill-treat /wilfully neglect an individual,Criminal Justice and Courts Act 2015 Sec 20 (1) and (2),2015,13/04/2015,,,
8/70,E,Fine,V,Violence Against The Person,Violence with injury ,8N Assault with injury,Care provider breach duty of care resulting in ill-treatment/neglect of individual,Criminal Justice and Courts Act 2015 Sec 21 (1) & 23 (1),2015,13/04/2015,,,
8/71,E,2,V,Violence Against The Person,Stalking and Harassment,8R Malicious Communications,Disclose private sexual photographs with intent to cause distress,Criminal Justice and Courts Act 2015 Sec 33 (1) & (9),01/04/2017,13/04/2015,,Offence moved to new 8R category,
8/72,E,2,V,Violence Against The Person,Stalking and Harassment,8R Malicious Communications,Sending letters etc with intent to cause distress or anxiety,Malicious Communications Act 1988 Sec 1,01/04/2017,13/04/2015,,Offence moved to new 8R category,
11/2,E,5,V,Violence Against The Person,Violence without injury,11A Cruelty to Children/Young Persons,Neglecting to provide for apprentice or servant,Offences against the Person Act 1861 Sec 26,,,,,
11/3,E,10,V,Violence Against The Person,Violence without injury,11A Cruelty to Children/Young Persons,Cruelty to and neglect of children,Children and Young Persons Act 1933 Sec 1,,,,,
12,E,5,V,Violence Against The Person,Violence without injury,11A Cruelty to Children/Young Persons,Abandoning child under two years,Offences against the Person Act 1861 Sec 27,,,,,
13/1,E,7,V,Violence Against The Person,violence without injury,13 Child Abduction,Abduction of a child by parent,Child Abduction Act 1984 Sec 1 as amended by the                                                                   Children’s Act 1989,,,,,
13/2,E,7,V,Violence Against The Person,violence without injury,13 Child Abduction,Abduction of child by other persons,Child Abduction Act 1984 Sec 2 as amended by the                                                                   Children’s Act 1989,,,,,
14/1,I,life,S,Violence Against The Person,Violence without injury,14 Procuring Illegal Abortion,Administering drugs or using instruments to procure abortion,Offences against the Person Act 1861 Sec 58,,,,,
14/2,I,5,S,Violence Against The Person,Violence without injury,14 Procuring Illegal Abortion,Procuring drugs etc. to cause abortion,Offences against the Person Act 1861 Sec 59,,,,,
15/00,E,2,S/V,Miscellaneous Crimes Against Society, ,15 Concealing an Infant Death Close to Birth,Concealment of birth,Offences against the Person Act 1861 Sec 60,,,,,
17/13,I,life,V,Sexual Offences,Other sexual offences,17A Sexual Assault on a Male aged 13 and over,Assault on a male by penetration,Sexual Offences Act 2003 Sec 2,,,,,
